EN, BL,GZ L ,GZ L cells,GZ WA,GZ WA cells,GZ WB,GZ WB cells,GZ A,Last Seg L,Last Seg L cells,Last Seg A,Trunk A,DAPI,Tagma
11,0.721,0.058,9,0.148,21,0.13,17,0.00771,0.009,2,0.00206,0.069,1,Thoracic PostMolt
11,0.722,0.057,11,0.136,21,0.113,18,0.00698,0.011,3,0.00195,0.064,2,Thoracic PostMolt
11,0.705,0.059,11,0.132,18,0.117,16,0.00695,0.009,2,0.00186,0.06,1,Thoracic PostMolt
11,0.725,0.067,,0.14,22,0.125,17,0.00789,0.01,3,0.00162,0.064,3,Thoracic PostMolt
11,0.682,0.058,12,0.133,19,0.122,18,0.00664,0.006,2,0.00152,0.057,4,Thoracic PostMolt
11,0.678,0.053,12,0.13,22,0.117,17,0.00594,0.008,2,0.00139,0.057,0,Thoracic PostMolt
11,0.724,0.064,14,0.154,25,0.142,21,0.00842,0.009,3,0.0022,0.068,4,Thoracic PostMolt
11,0.713,0.06,12,0.134,21,0.119,19,0.0069,0.007,2,0.00187,0.065,3,Thoracic PostMolt
11,0.698,0.049,10,0.134,23,0.12,18,0.00593,0.007,2,0.00151,0.06,1,Thoracic PostMolt
11,0.741,0.061,12,0.139,21,0.122,17,0.00763,0.007,2,0.00181,0.068,2,Thoracic PostMolt
11,0.717,0.056,14,0.132,20,0.119,19,0.0065,0.01,3,0.0015,0.063,2,Thoracic PostMolt
11,0.739,0.063,12,0.145,24,0.122,18,0.00825,0.011,3,0.00192,0.07,2,Thoracic PostMolt
11,0.746,0.059,12,0.14,22,0.128,18,0.00766,0.009,3,0.00151,0.071,0,Thoracic PostMolt
11,0.734,0.056,11,0.133,23,0.118,17,0.00701,0.009,2,0.0018,0.068,4,Thoracic PostMolt
11,0.701,0.055,11,0.137,23,0.119,17,0.00709,0.006,1,0.00161,0.057,2,Thoracic PostMolt
11,0.715,0.054,10,0.127,20,0.119,16,0.00592,0.008,2,0.0016,0.06,4,Thoracic PostMolt
11,0.749,0.059,12,0.147,21,0.128,17,0.00781,0.009,2,0.00197,0.068,2,Thoracic PostMolt
11,0.699,0.049,9,0.145,22,0.128,19,0.0064,0.007,2,0.00158,0.062,2,Thoracic PostMolt
11,0.629,0.049,10,0.116,21,0.108,18,0.00534,0.008,3,0.00111,0.046,1,Thoracic PostMolt
11,0.744,0.052,10,0.116,19,0.117,17,0.0058,0.01,3,0.00175,0.06,0,Thoracic PostMolt
11,0.75,0.053,9,0.138,21,0.12,17,0.00624,0.008,2,0.00176,0.071,3,Thoracic PostMolt
11,0.714,0.051,10,0.119,19,0.115,16,0.00565,0.008,2,0.00146,0.055,2,Thoracic PostMolt
11,0.694,0.053,9,0.129,24,0.121,20,0.00627,0.007,2,0.00148,0.055,1,Thoracic PostMolt
11,0.724,0.061,11,0.157,25,0.129,20,0.00842,0.007,2,0.00184,0.083,5,Thoracic PostMolt
11,0.742,0.065,11,0.161,28,0.139,22,0.00913,0.01,2,0.00244,0.077,6,Thoracic PostMolt
11,0.741,0.062,13,0.133,21,0.117,15,0.00741,0.01,3,0.00201,0.067,1,Thoracic PostMolt
11,0.723,0.059,13,0.159,25,0.144,18,0.0093,0.007,2,0.00155,0.075,1,Thoracic PostMolt
11,0.69,0.057,9,0.118,16,0.103,14,0.0058,0.01,3,0.00159,0.053,3,Thoracic PostMolt
11,0.676,0.058,11,0.117,17,0.105,15,0.00603,0.01,2,0.00143,0.056,9,Thoracic PostMolt
11,0.622,0.047,8,0.101,14,0.088,10,0.00403,0.01,2,0.0012,0.041,2,Thoracic PostMolt
11,0.625,0.043,7,0.103,13,0.102,14,0.00439,0.01,3,0.00133,0.048,3,Thoracic PostMolt
12,0.771,0.06,11,0.145,22,0.126,18,0.00765,0.008,1,0.00182,0.079,2,Genital
12,0.754,0.056,10,0.152,21,0.133,19,0.00754,0.01,3,0.00235,0.073,2,Genital
12,0.773,0.061,10,0.145,21,0.129,18,0.00771,0.007,1,0.00181,0.074,1,Genital
12,0.791,0.052,10,0.134,22,0.125,19,0.00671,0.009,2,0.00184,0.08,1,Genital
12,0.815,0.053,10,0.152,25,0.135,19,0.00715,0.009,2,0.00204,0.084,4,Genital
12,0.798,0.057,10,0.14,22,0.13,19,0.00772,0.011,3,0.00199,0.079,4,Genital
12,0.793,0.047,10,0.144,20,0.13,20,0.00639,0.008,2,0.00181,0.078,2,Genital
12,0.775,0.051,11,0.15,24,0.14,21,0.00696,0.009,3,0.00202,0.073,0,Genital
12,0.754,0.053,10,0.131,19,0.118,17,0.00585,0.008,2,0.00183,0.067,1,Genital
12,0.747,0.05,10,0.146,,0.135,23,0.00621,0.008,3,0.00187,0.07,0,Genital
12,0.804,0.049,9,0.137,22,0.129,18,0.00619,0.009,2,0.00175,0.077,1,Genital
12,0.725,0.04,8,0.137,18,0.129,18,0.00539,0.009,2,0.0014,0.065,1,Genital
12,0.753,0.047,9,0.128,20,0.117,18,0.00579,0.008,2,0.00158,0.069,2,Genital
12,0.794,0.049,10,0.157,25,0.142,21,0.00713,0.01,2,0.00185,0.086,1,Genital
12,0.791,0.057,12,0.145,24,0.127,20,0.00785,0.01,3,0.00212,0.081,0,Genital
12,0.76,0.049,9,0.152,23,0.14,20,0.00701,0.01,3,0.00216,0.079,0,Genital
12,0.756,0.047,9,0.142,21,0.13,19,0.00635,0.009,3,0.00164,0.07,3,Genital
12,0.787,0.043,10,0.139,22,0.13,20,0.00518,0.007,2,0.0017,0.076,3,Genital
12,0.718,0.051,8,0.109,14,0.096,13,0.0051,0.011,3,0.00169,0.061,3,Genital
12,0.699,0.044,7,0.11,15,0.1,13,0.00449,0.01,2,0.00144,0.06,2,Genital
12,0.731,0.054,9,0.099,13,0.092,13,0.00481,0.009,2,0.00127,0.054,7,Genital
12,0.668,0.046,7,0.107,14,0.102,13,0.00442,0.008,2,0.00114,0.052,3,Genital
12,0.712,0.049,9,0.09,13,0.093,13,0.00416,0.009,2,0.0013,0.059,4,Genital
12,0.717,0.05,8,0.123,15,0.104,12,0.00538,0.01,2,0.00176,0.061,6,Genital
12,0.688,0.053,7,0.131,17,0.112,14,0.00596,0.006,1,0.00141,0.056,3,Genital
12,0.686,0.06,9,0.127,16,0.108,13,0.00668,0.011,3,0.00161,0.054,4,Genital
12,0.688,0.046,8,0.083,11,0.089,14,0.00355,0.006,2,0.00101,0.047,2,Genital
12,0.699,0.051,9,0.107,12,0.099,12,0.00487,0.006,1,0.00149,0.055,5,Genital
12,0.778,0.049,8,0.1,14,0.095,13,0.00479,0.013,3,0.00138,0.061,2,Genital
12,0.834,0.057,12,0.151,23,0.123,16,0.00786,0.012,3,0.0023,0.088,1,Genital
12,0.726,0.043,8,0.137,20,0.132,18,0.00553,0.012,3,0.00194,0.054,1,Genital
12,0.744,0.043,7,0.107,14,0.104,16,0.00427,0.008,2,0.00141,0.057,0,Genital
12,0.854,0.068,9,0.123,16,0.109,17,0.00747,0.012,2,0.00225,0.083,0,Genital
12,0.755,0.056,9,0.114,15,0.105,15,0.00607,0.009,2,0.00165,0.065,3,Genital
12,0.762,0.057,9,0.114,15,0.109,15,0.00621,0.011,4,0.00149,0.06,1,Genital
13,0.725,0.037,6,0.097,12,0.089,13,0.0033,0.009,2,0.00112,0.056,1,Genital
13,0.754,0.045,6,0.108,15,0.102,13,0.00448,0.008,2,0.00134,0.068,3,Genital
13,0.763,0.042,6,0.097,12,0.096,12,0.00371,0.007,2,0.00129,0.063,2,Genital
13,0.778,0.046,7,0.101,16,0.093,12,0.00377,0.006,1,0.00121,0.064,6,Genital
13,0.861,0.052,8,0.13,19,0.117,16,0.00595,0.009,2,0.00169,0.085,1,Genital
13,0.843,0.044,7,0.124,18,0.112,16,0.00483,0.009,2,0.00121,0.076,2,Genital
13,0.902,0.054,8,0.141,19,0.13,16,0.00746,0.011,3,0.00202,0.092,1,Genital
13,0.784,0.046,8,0.101,17,0.1,16,0.00434,0.011,2,0.00112,0.067,2,Genital
13,0.826,0.047,7,0.127,19,0.109,14,0.00562,0.012,3,0.00156,0.076,0,Genital
13,0.837,0.044,8,0.14,22,0.117,17,0.00591,0.01,2,0.00206,0.083,6,Genital
13,0.851,0.047,7,0.107,14,0.102,13,0.00473,0.011,3,0.00146,0.078,2,Genital
13,0.826,0.043,7,0.13,17,0.117,17,0.00548,0.01,3,0.00248,0.078,10,Genital
13,0.844,0.052,8,0.123,16,0.11,14,0.00578,0.01,2,0.00165,0.081,3,Genital
13,0.816,0.049,8,0.123,18,0.11,13,0.00547,0.008,2,0.0015,0.075,18,Genital
13,0.835,0.048,7,0.123,17,0.111,15,0.00591,0.01,3,0.00156,0.077,12,Genital
13,0.823,0.043,7,0.11,14,0.105,13,0.00476,0.012,3,0.00172,0.073,4,Genital
13,0.813,0.066,9,0.13,16,0.112,14,0.00753,0.008,2,0.00181,0.078,3,Genital
13,0.824,0.05,9,0.127,16,0.119,17,0.00594,0.006,1,0.00157,0.075,7,Genital
13,0.798,0.04,6,0.112,18,0.107,16,0.00465,0.007,1,0.00131,0.075,4,Genital
13,0.782,0.044,7,0.124,15,0.108,13,0.005,0.009,2,0.00154,0.07,1,Genital
13,0.853,0.051,7,0.137,19,0.114,13,0.00631,0.01,2,0.00173,0.088,3,Genital
13,0.795,0.045,7,0.111,16,0.105,14,0.00472,0.011,2,0.00151,0.068,1,Genital
13,0.707,0.064,12,0.119,19,0.111,16,0.0072,0.007,1,0.00156,0.071,3,Genital
13,0.812,0.045,7,0.109,17,0.113,15,0.00489,0.009,2,0.00135,0.074,2,Genital
13,0.749,0.035,6,0.115,17,0.112,14,0.00375,0.008,2,0.00117,0.064,2,Genital
13,0.802,0.038,7,0.128,19,0.116,17,0.00431,0.007,2,0.00132,0.08,3,Genital
13,0.767,0.046,8,0.116,14,0.107,13,0.00527,0.004,1,0.00108,0.062,0,Genital
13,0.801,0.054,8,0.134,18,0.119,15,0.00679,0.008,2,0.00221,0.075,1,Genital
14,0.895,0.041,6,0.153,21,0.134,15,0.00554,0.007,1,0.00181,0.104,1,Abdominal
14,0.858,0.047,8,0.138,18,0.129,16,0.00608,0.012,3,0.002,0.086,6,Abdominal
14,0.894,0.048,8,0.141,21,0.113,17,0.00662,0.007,1,0.00124,0.097,2,Abdominal
14,0.868,0.044,7,0.138,23,0.132,18,0.00551,0.006,1,0.00142,0.095,1,Abdominal
14,0.885,0.05,9,0.125,18,0.118,16,0.00609,0.007,2,0.00135,0.095,2,Abdominal
14,0.843,0.035,7,0.119,15,0.111,13,0.00406,0.009,2,0.00161,0.08,0,Abdominal
14,0.898,0.053,9,0.143,22,0.124,18,0.00634,0.007,2,0.00172,0.093,2,Abdominal
14,0.905,0.053,9,0.155,25,0.146,21,0.0072,0.007,1,0.00173,0.108,3,Abdominal
14,0.823,0.033,5,0.103,17,0.101,15,0.00319,0.006,1,0.00102,0.076,1,Abdominal
14,0.883,0.042,6,0.146,23,0.138,20,0.00573,0.007,2,0.0018,0.094,2,Abdominal
14,0.802,0.045,7,0.12,16,0.111,13,0.00479,0.006,1,0.00107,0.079,2,Abdominal
14,0.858,0.047,7,0.142,21,0.134,18,0.00609,0.007,2,0.00177,0.094,1,Abdominal
14,0.879,0.039,6,0.138,19,0.128,18,0.00496,0.008,2,0.00171,0.101,4,Abdominal
14,0.896,0.039,7,0.149,17,0.137,16,0.00594,0.007,3,0.00208,0.107,2,Abdominal
14,0.911,0.041,7,0.169,23,0.152,19,0.00642,0.005,1,0.00202,0.108,1,Abdominal
14,0.835,0.038,6,0.119,19,0.104,15,0.00413,0.005,1,0.00118,0.082,6,Abdominal
14,0.856,0.04,7,0.144,22,0.138,18,0.00545,0.008,2,0.00183,0.092,1,Abdominal
14,0.877,0.039,8,0.125,21,0.112,16,0.00456,0.008,2,0.00138,0.082,0,Abdominal
14,0.815,0.037,6,0.125,17,0.116,15,0.0042,0.005,1,0.00134,0.08,1,Abdominal
14,0.875,0.044,8,0.135,18,0.113,16,0.00532,0.009,3,0.00183,0.101,8,Abdominal
14,0.859,0.039,6,0.135,19,0.124,16,0.005,0.006,2,0.00127,0.091,3,Abdominal
14,0.871,0.044,7,0.123,19,0.112,16,0.00499,0.01,2,0.00148,0.089,3,Abdominal
15,0.841,0.037,6,0.117,17,0.101,14,0.00402,0.007,2,0.00132,0.083,1,Abdominal
15,0.943,0.043,7,0.144,23,0.136,19,0.00552,0.005,2,0.0016,0.113,4,Abdominal
15,0.954,0.038,7,0.131,19,0.115,15,0.00456,0.008,2,0.0016,0.109,1,Abdominal
15,0.874,0.043,6,0.125,17,0.112,13,0.00492,0.004,1,0.00119,0.1,0,Abdominal
15,0.93,0.043,9,0.101,14,0.082,11,0.0038,0.009,3,0.00106,0.102,1,Abdominal
15,0.942,0.043,7,0.153,22,0.141,18,0.00604,0.005,1,0.00188,0.12,1,Abdominal
15,0.862,0.036,6,0.117,18,0.107,15,0.00406,0.01,2,0.00138,0.09,6,Abdominal
15,0.968,0.053,8,0.154,22,0.142,18,0.00736,0.006,1,0.00187,0.114,3,Abdominal
15,0.977,0.044,7,0.104,13,0.093,12,0.00407,0.007,1,0.00125,0.115,3,Abdominal
15,0.966,0.042,7,0.126,17,0.117,14,0.00487,0.005,1,0.00123,0.111,1,Abdominal
15,0.914,0.027,5,0.126,18,0.106,16,0.00332,0.005,1,0.00132,0.105,4,Abdominal
15,0.989,0.033,5,0.141,19,0.131,16,0.00448,0.007,2,0.00174,0.11,1,Abdominal
15,0.909,0.033,5,0.113,17,0.105,13,0.00343,0.004,1,0.00111,0.096,1,Abdominal
15,0.917,0.025,5,0.125,20,0.114,17,0.0032,0.005,1,0.00125,0.095,3,Abdominal
15,0.916,0.032,6,0.119,18,0.104,14,0.00359,0.007,2,0.0017,0.103,2,Abdominal
15,0.944,0.039,6,0.138,20,0.117,16,0.00493,0.007,2,0.00137,0.108,4,Abdominal
15,0.935,0.029,4,0.085,15,0.085,12,0.00255,0.006,1,0.00094,0.092,1,Abdominal
15,0.953,0.038,6,0.115,16,0.107,15,0.00419,0.006,1,0.00114,0.103,2,Abdominal
15,0.894,0.028,5,0.125,21,0.12,18,0.00353,0.004,1,0.00118,0.103,6,Abdominal
15,0.965,0.043,6,0.138,19,0.12,16,0.00528,0.008,2,0.00178,0.116,3,Abdominal
15,0.944,0.04,6,0.121,18,0.116,16,0.00446,0.005,1,0.00135,0.102,3,Abdominal
15,0.969,0.041,7,0.154,21,0.139,19,0.00649,0.01,3,0.002,0.133,1,Abdominal
15,0.929,0.041,6,0.125,19,0.114,15,0.00458,0.006,1,0.00104,0.109,1,Abdominal
15,0.939,0.039,6,0.146,19,0.123,16,0.0059,0.008,2,0.00167,0.11,4,Abdominal
15,0.936,0.046,7,0.13,20,0.122,18,0.00517,0.008,2,0.00145,0.107,3,Abdominal
15,0.983,0.035,6,0.135,20,0.124,18,0.00471,0.01,2,0.00146,0.117,3,Abdominal
15,0.948,0.041,6,0.159,22,0.144,19,0.00617,0.008,2,0.00186,0.126,2,Abdominal
15,0.904,0.04,6,0.132,18,0.122,16,0.00462,0.004,1,0.00126,0.099,4,Abdominal
15,0.895,0.036,6,0.108,14,0.102,12,0.00362,0.005,1,0.00105,0.098,0,Abdominal
15,0.825,0.039,7,0.112,16,0.109,16,0.00409,0.003,1,0.00078,0.071,4,Abdominal
15,0.898,0.039,7,0.121,17,0.118,17,0.00431,0.006,2,0.00113,0.09,0,Abdominal
15,0.86,0.04,7,0.123,19,0.114,14,0.00459,0.005,1,0.00119,0.08,0,Abdominal
15,0.914,0.04,7,0.118,18,0.111,18,0.0043,0.006,1,0.00113,0.091,1,Abdominal
15,0.876,0.039,7,0.112,17,0.111,15,0.00443,0.008,2,0.0012,0.087,1,Abdominal
16,0.975,0.053,8,0.13,18,0.117,15,0.0061,0.006,1,0.00164,0.121,7,Abdominal
16,0.904,0.038,6,0.125,18,0.116,14,0.00443,0.006,1,0.00124,0.107,2,Abdominal
16,1.036,0.034,5,0.121,19,0.107,15,0.00376,0.006,1,0.0011,0.128,4,Abdominal
16,0.947,0.04,7,0.117,17,0.114,14,0.00466,0.008,2,0.00136,0.098,0,Abdominal
16,0.924,0.043,7,0.115,15,0.104,14,0.00429,0.007,2,0.00113,0.098,2,Abdominal
16,0.94,0.036,6,0.134,20,0.126,17,0.00446,0.007,2,0.00146,0.1,1,Abdominal
16,0.975,0.029,5,0.137,18,0.136,19,0.00389,0.006,1,0.00176,0.108,0,Abdominal
16,0.868,0.039,6,0.116,17,0.109,15,0.00397,0.006,1,0.00115,0.09,0,Abdominal
16,0.966,0.039,6,0.142,20,0.135,17,0.00518,0.006,1,0.00152,0.111,0,Abdominal
16,0.948,0.041,7,0.13,18,0.118,15,0.00498,0.005,1,0.00112,0.109,2,Abdominal
16,0.947,0.035,6,0.128,19,0.123,17,0.0045,0.004,1,0.00099,0.107,2,Abdominal
17,1.054,0.03,5,0.128,16,0.121,14,0.00387,0.005,1,0.0013,0.135,2,Abdominal
17,1.004,0.026,4,0.12,16,0.125,15,0.00338,0.008,2,0.00153,0.117,0,Abdominal
17,0.967,0.029,5,0.141,19,0.131,18,0.00363,0.006,2,0.00146,0.114,0,Abdominal
17,0.99,0.035,5,0.112,17,0.116,14,0.00365,0.007,2,0.00131,0.106,3,Abdominal
17,0.903,0.032,5,0.107,14,0.098,13,0.00325,0.004,1,0.001,0.095,0,Abdominal
3,0.428,0.107,19,0.152,28,0.06,12,0.01191,0.02223,5,0.00396,0.02489,17,Thoracic PreMolt
3,0.411,0.109,21,0.145,25,0.07,12,0.01274,0.02338,5,0.00338,0.02473,7,Thoracic PreMolt
3,0.41,0.101,18,0.136,24,0.071,10,0.01166,0.01656,4,0.00321,0.02234,13,Thoracic PreMolt
3,0.415,0.099,20,0.145,26,0.062,11,0.01165,0.01778,5,0.00359,0.0238,8,Thoracic PreMolt
3,0.416,0.114,21,0.147,27,0.063,10,0.01344,0.02599,6,0.00378,0.02515,17,Thoracic PreMolt
3,0.403,0.09,15,0.146,23,0.074,10,0.01091,0.01815,4,0.00311,0.02231,14,Thoracic PreMolt
3,0.412,0.102,17,0.15,23,0.061,10,0.01181,0.02223,4,0.00368,0.02401,19,Thoracic PreMolt
3,0.432,0.114,18,0.143,23,0.063,10,0.01291,0.02075,4,0.00403,0.02624,11,Thoracic PreMolt
3,0.431,0.109,18,0.148,26,0.07,12,0.01328,0.01839,4,0.00391,0.02528,20,Thoracic PreMolt
3,0.402,0.092,16,0.144,22,0.066,11,0.01093,0.0187,4,0.00331,0.02201,14,Thoracic PreMolt
3,0.41,0.099,14,0.142,24,0.075,11,0.01162,0.01741,4,0.00372,0.02309,12,Thoracic PreMolt
3,0.401,0.099,17,0.135,22,0.067,12,0.01075,0.01895,4,0.00361,0.02243,21,Thoracic PreMolt
3,0.397,0.098,18,0.14,24,0.072,14,0.01105,0.01756,4,0.00326,0.02235,10,Thoracic PreMolt
3,0.401,0.1,21,0.133,25,0.061,11,0.01064,0.01989,5,0.00325,0.02117,13,Thoracic PreMolt
3,0.407,0.099,19,0.136,23,0.07,11,0.01121,0.0219,5,0.00348,0.02232,10,Thoracic PreMolt
3,0.399,0.095,19,0.142,25,0.066,11,0.0102,0.01756,4,0.00376,0.02242,11,Thoracic PreMolt
3,0.433,0.1,20,0.151,24,0.073,12,0.01186,0.01314,3,0.0039,0.02584,12,Thoracic PreMolt
3,0.421,0.095,17,0.149,22,0.076,10,0.01118,0.01371,3,0.00321,0.02334,6,Thoracic PreMolt
3,0.393,0.101,19,0.149,26,0.071,10,0.01164,0.01787,4,0.00327,0.0225,23,Thoracic PreMolt
3,0.404,0.094,18,0.158,28,0.074,12,0.01159,0.02307,5,0.00438,0.02523,11,Thoracic PreMolt
3,0.429,0.101,17,0.169,28,0.083,11,0.01395,0.01736,3,0.0048,0.02941,11,Thoracic PreMolt
3,0.393,0.089,16,0.151,26,0.079,12,0.01074,0.02188,5,0.00401,0.0241,16,Thoracic PreMolt
3,0.419,0.093,13,0.155,26,0.085,14,0.01236,0.02247,5,0.0039,0.02543,14,Thoracic PreMolt
3,0.426,0.103,19,0.161,27,0.08,14,0.01267,0.0218,5,0.00462,0.02739,12,Thoracic PreMolt
4,0.391,0.083,15,0.122,20,0.07,11,0.00849,0.01249,3,0.00207,0.02033,2,Thoracic PreMolt
4,0.404,0.081,16,0.133,20,0.074,14,0.00881,0.01668,4,0.00245,0.02258,3,Thoracic PreMolt
4,0.424,0.078,15,0.141,27,0.067,12,0.00877,0.01674,4,0.00313,0.02605,3,Thoracic PreMolt
4,0.412,0.082,14,0.129,21,0.06,9,0.00863,0.01778,3,0.00253,0.02136,7,Thoracic PreMolt
4,0.451,0.091,16,0.129,23,0.067,11,0.00956,0.01627,3,0.00261,0.02604,3,Thoracic PreMolt
4,0.436,0.084,15,0.132,22,0.07,10,0.00943,0.01519,4,0.00272,0.02464,4,Thoracic PreMolt
4,0.417,0.091,14,0.125,22,0.062,10,0.0091,0.01322,3,0.00225,0.02231,6,Thoracic PreMolt
4,0.426,0.078,12,0.14,23,0.07,9,0.00855,0.01519,3,0.00281,0.02496,5,Thoracic PreMolt
4,0.452,0.103,17,0.14,23,0.076,11,0.01182,0.01761,4,0.00326,0.02775,10,Thoracic PreMolt
4,0.406,0.081,15,0.121,22,0.067,10,0.00833,0.01383,3,0.00223,0.02138,9,Thoracic PreMolt
4,0.429,0.084,17,0.134,19,0.077,12,0.00947,0.01452,3,0.0027,0.02446,5,Thoracic PreMolt
4,0.412,0.08,13,0.138,20,0.067,11,0.00854,0.01535,3,0.003,0.02332,8,Thoracic PreMolt
4,0.436,0.084,13,0.134,23,0.068,11,0.00965,0.01531,3,0.00242,0.02408,9,Thoracic PreMolt
4,0.422,0.089,14,0.137,22,0.058,8,0.00932,0.0184,4,0.00264,0.02461,8,Thoracic PreMolt
4,0.401,0.085,14,0.126,19,0.062,9,0.00872,0.01536,3,0.00208,0.02165,9,Thoracic PreMolt
